Month,StTime,FinTime,Consumption
10,0:00,0:14,0.01
10,0:15,0:29,0.01
10,0:30,0:44,0.01
10,0:45,0:59,0.01
10,1:00,1:14,0.01
10,1:15,1:29,0.01
10,1:30,1:44,0.01
10,1:45,1:59,0.01
10,2:00,2:14,0.02
10,2:15,2:29,0.02
10,2:30,2:44,0.02
10,2:45,2:59,0.02
10,3:00,3:14,0.01
10,3:15,3:29,0.01
10,3:30,3:44,0.01
10,3:45,3:59,0.01
10,4:00,4:14,0.01
10,4:15,4:29,0.01
10,4:30,4:44,0.01
10,4:45,4:59,0.01
10,5:00,5:14,0.01
10,5:15,5:29,0.01
10,5:30,5:44,0.01
10,5:45,5:59,0.01
10,6:00,6:14,0.01
10,6:15,6:29,0.01
10,6:30,6:44,0.01
10,6:45,6:59,0.01
10,7:00,7:14,0.01
10,7:15,7:29,0.01
10,7:30,7:44,0.01
10,7:45,7:59,0.01
10,8:00,8:14,0.02
10,8:15,8:29,0.02
10,8:30,8:44,0.02
10,8:45,8:59,0.02
10,9:00,9:14,0.01
10,9:15,9:29,0.01
10,9:30,9:44,0.01
10,9:45,9:59,0.01
10,10:00,10:14,0.02
10,10:15,10:29,0.02
10,10:30,10:44,0.02
10,10:45,10:59,0.02
10,11:00,11:14,0.07
10,11:15,11:29,0.07
10,11:30,11:44,0.07
10,11:45,11:59,0.07
10,12:00,12:14,0.13
10,12:15,12:29,0.13
10,12:30,12:44,0.13
10,12:45,12:59,0.13
10,13:00,13:14,0.01
10,13:15,13:29,0.01
10,13:30,13:44,0.01
10,13:45,13:59,0.01
10,14:00,14:14,0.06
10,14:15,14:29,0.06
10,14:30,14:44,0.06
10,14:45,14:59,0.06
10,15:00,15:14,0.03
10,15:15,15:29,0.03
10,15:30,15:44,0.03
10,15:45,15:59,0.03
10,16:00,16:14,0.02
10,16:15,16:29,0.02
10,16:30,16:44,0.02
10,16:45,16:59,0.02
10,17:00,17:14,0.02
10,17:15,17:29,0.02
10,17:30,17:44,0.02
10,17:45,17:59,0.02
10,18:00,18:14,0.01
10,18:15,18:29,0.01
10,18:30,18:44,0.01
10,18:45,18:59,0.01
10,19:00,19:14,0.01
10,19:15,19:29,0.01
10,19:30,19:44,0.01
10,19:45,19:59,0.01
10,20:00,20:14,0.22
10,20:15,20:29,0.22
10,20:30,20:44,0.22
10,20:45,20:59,0.22
10,21:00,21:14,0.06
10,21:15,21:29,0.06
10,21:30,21:44,0.06
10,21:45,21:59,0.06
10,22:00,22:14,0.05
10,22:15,22:29,0.05
10,22:30,22:44,0.05
10,22:45,22:59,0.05
10,23:00,23:14,0.3
10,23:15,23:29,0.3
10,23:30,23:44,0.3
10,23:45,23:59,0.3
10,0:00,0:14,0.03
10,0:15,0:29,0.03
10,0:30,0:44,0.03
10,0:45,0:59,0.03
10,1:00,1:14,0.03
10,1:15,1:29,0.03
10,1:30,1:44,0.03
10,1:45,1:59,0.03
10,2:00,2:14,0.02
10,2:15,2:29,0.02
10,2:30,2:44,0.02
10,2:45,2:59,0.02
10,3:00,3:14,0.03
10,3:15,3:29,0.03
10,3:30,3:44,0.03
10,3:45,3:59,0.03
10,4:00,4:14,0.81
10,4:15,4:29,0.81
10,4:30,4:44,0.81
10,4:45,4:59,0.81
10,5:00,5:14,0.73
10,5:15,5:29,0.73
10,5:30,5:44,0.73
10,5:45,5:59,0.73
10,6:00,6:14,0.68
10,6:15,6:29,0.68
10,6:30,6:44,0.68
10,6:45,6:59,0.68
10,7:00,7:14,0.57
10,7:15,7:29,0.57
10,7:30,7:44,0.57
10,7:45,7:59,0.57
10,8:00,8:14,0.75
10,8:15,8:29,0.75
10,8:30,8:44,0.75
10,8:45,8:59,0.75
10,9:00,9:14,0.25
10,9:15,9:29,0.25
10,9:30,9:44,0.25
10,9:45,9:59,0.25
10,10:00,10:14,0.15
10,10:15,10:29,0.15
10,10:30,10:44,0.15
10,10:45,10:59,0.15
10,11:00,11:14,0.12
10,11:15,11:29,0.12
10,11:30,11:44,0.12
10,11:45,11:59,0.12
10,12:00,12:14,0.05
10,12:15,12:29,0.05
10,12:30,12:44,0.05
10,12:45,12:59,0.05
10,13:00,13:14,0.03
10,13:15,13:29,0.03
10,13:30,13:44,0.03
10,13:45,13:59,0.03
10,14:00,14:14,0.03
10,14:15,14:29,0.03
10,14:30,14:44,0.03
10,14:45,14:59,0.03
10,15:00,15:14,0.03
10,15:15,15:29,0.03
10,15:30,15:44,0.03
10,15:45,15:59,0.03
10,16:00,16:14,0.02
10,16:15,16:29,0.02
10,16:30,16:44,0.02
10,16:45,16:59,0.02
10,17:00,17:14,0.01
10,17:15,17:29,0.01
10,17:30,17:44,0.01
10,17:45,17:59,0.01
10,18:00,18:14,0.58
10,18:15,18:29,0.58
10,18:30,18:44,0.58
10,18:45,18:59,0.58
10,19:00,19:14,0.37
10,19:15,19:29,0.37
10,19:30,19:44,0.37
10,19:45,19:59,0.37
10,20:00,20:14,0.35
10,20:15,20:29,0.35
10,20:30,20:44,0.35
10,20:45,20:59,0.35
10,21:00,21:14,0.06
10,21:15,21:29,0.06
10,21:30,21:44,0.06
10,21:45,21:59,0.06
10,22:00,22:14,0.08
10,22:15,22:29,0.08
10,22:30,22:44,0.08
10,22:45,22:59,0.08
10,23:00,23:14,0.05
10,23:15,23:29,0.05
10,23:30,23:44,0.05
10,23:45,23:59,0.05
10,0:00,0:14,0.02
10,0:15,0:29,0.02
10,0:30,0:44,0.02
10,0:45,0:59,0.02
10,1:00,1:14,0.02
10,1:15,1:29,0.02
10,1:30,1:44,0.02
10,1:45,1:59,0.02
10,2:00,2:14,0.02
10,2:15,2:29,0.02
10,2:30,2:44,0.02
10,2:45,2:59,0.02
10,3:00,3:14,0.02
10,3:15,3:29,0.02
10,3:30,3:44,0.02
10,3:45,3:59,0.02
10,4:00,4:14,0.02
10,4:15,4:29,0.02
10,4:30,4:44,0.02
10,4:45,4:59,0.02
10,5:00,5:14,0.05
10,5:15,5:29,0.05
10,5:30,5:44,0.05
10,5:45,5:59,0.05
10,6:00,6:14,0.01
10,6:15,6:29,0.01
10,6:30,6:44,0.01
10,6:45,6:59,0.01
10,7:00,7:14,0.03
10,7:15,7:29,0.03
10,7:30,7:44,0.03
10,7:45,7:59,0.03
