Month,StTime,FinTime,Consumption
10,0,14,0.01
10,15,29,0.01
10,30,44,0.01
10,45,59,0.01
10,60,74,0.01
10,75,89,0.01
10,90,104,0.01
10,105,119,0.01
10,120,134,0.02
10,135,149,0.02
10,150,164,0.02
10,165,179,0.02
10,180,194,0.01
10,195,209,0.01
10,210,224,0.01
10,225,239,0.01
10,240,254,0.01
10,255,269,0.01
10,270,284,0.01
10,285,299,0.01
10,300,314,0.01
10,315,329,0.01
10,330,344,0.01
10,345,359,0.01
10,360,374,0.01
10,375,389,0.01
10,390,404,0.01
10,405,419,0.01
10,420,434,0.01
10,435,449,0.01
10,450,464,0.01
10,465,479,0.01
10,480,494,0.02
10,495,509,0.02
10,510,524,0.02
10,525,539,0.02
10,540,554,0.01
10,555,569,0.01
10,570,584,0.01
10,585,599,0.01
10,600,614,0.02
10,615,629,0.02
10,630,644,0.02
10,645,659,0.02
10,660,674,0.07
10,675,689,0.07
10,690,704,0.07
10,705,719,0.07
10,720,734,0.13
10,735,749,0.13
10,750,764,0.13
10,765,779,0.13
10,780,794,0.01
10,795,809,0.01
10,810,824,0.01
10,825,839,0.01
10,840,854,0.06
10,855,869,0.06
10,870,884,0.06
10,885,899,0.06
10,900,914,0.03
10,915,929,0.03
10,930,944,0.03
10,945,959,0.03
10,960,974,0.02
10,975,989,0.02
10,990,1004,0.02
10,1005,1019,0.02
10,1020,1034,0.02
10,1035,1049,0.02
10,1050,1064,0.02
10,1065,1079,0.02
10,1080,1094,0.01
10,1095,1109,0.01
10,1110,1124,0.01
10,1125,1139,0.01
10,1140,1154,0.01
10,1155,1169,0.01
10,1170,1184,0.01
10,1185,1199,0.01
10,1200,1214,0.22
10,1215,1229,0.22
10,1230,1244,0.22
10,1245,1259,0.22
10,1260,1274,0.06
10,1275,1289,0.06
10,1290,1304,0.06
10,1305,1319,0.06
10,1320,1334,0.05
10,1335,1349,0.05
10,1350,1364,0.05
10,1365,1379,0.05
10,1380,1394,0.3
10,1395,1409,0.3
10,1410,1424,0.3
10,1425,1439,0.3
10,0,14,0.03
10,15,29,0.03
10,30,44,0.03
10,45,59,0.03
10,60,74,0.03
10,75,89,0.03
10,90,104,0.03
10,105,119,0.03
10,120,134,0.02
10,135,149,0.02
10,150,164,0.02
10,165,179,0.02
10,180,194,0.03
10,195,209,0.03
10,210,224,0.03
10,225,239,0.03
10,240,254,0.81
10,255,269,0.81
10,270,284,0.81
10,285,299,0.81
10,300,314,0.73
10,315,329,0.73
10,330,344,0.73
10,345,359,0.73
10,360,374,0.68
10,375,389,0.68
10,390,404,0.68
10,405,419,0.68
10,420,434,0.57
10,435,449,0.57
10,450,464,0.57
10,465,479,0.57
10,480,494,0.75
10,495,509,0.75
10,510,524,0.75
10,525,539,0.75
10,540,554,0.25
10,555,569,0.25
10,570,584,0.25
10,585,599,0.25
10,600,614,0.15
10,615,629,0.15
10,630,644,0.15
10,645,659,0.15
10,660,674,0.12
10,675,689,0.12
10,690,704,0.12
10,705,719,0.12
10,720,734,0.05
10,735,749,0.05
10,750,764,0.05
10,765,779,0.05
10,780,794,0.03
10,795,809,0.03
10,810,824,0.03
10,825,839,0.03
10,840,854,0.03
10,855,869,0.03
10,870,884,0.03
10,885,899,0.03
10,900,914,0.03
10,915,929,0.03
10,930,944,0.03
10,945,959,0.03
10,960,974,0.02
10,975,989,0.02
10,990,1004,0.02
10,1005,1019,0.02
10,1020,1034,0.01
10,1035,1049,0.01
10,1050,1064,0.01
10,1065,1079,0.01
10,1080,1094,0.58
10,1095,1109,0.58
10,1110,1124,0.58
10,1125,1139,0.58
10,1140,1154,0.37
10,1155,1169,0.37
10,1170,1184,0.37
10,1185,1199,0.37
10,1200,1214,0.35
10,1215,1229,0.35
10,1230,1244,0.35
10,1245,1259,0.35
10,1260,1274,0.06
10,1275,1289,0.06
10,1290,1304,0.06
10,1305,1319,0.06
10,1320,1334,0.08
10,1335,1349,0.08
10,1350,1364,0.08
10,1365,1379,0.08
10,1380,1394,0.05
10,1395,1409,0.05
10,1410,1424,0.05
10,1425,1439,0.05
10,0,14,0.02
10,15,29,0.02
10,30,44,0.02
10,45,59,0.02
10,60,74,0.02
10,75,89,0.02
10,90,104,0.02
10,105,119,0.02
10,120,134,0.02
10,135,149,0.02
10,150,164,0.02
10,165,179,0.02
10,180,194,0.02
10,195,209,0.02
10,210,224,0.02
10,225,239,0.02
10,240,254,0.02
10,255,269,0.02
10,270,284,0.02
10,285,299,0.02
10,300,314,0.05
10,315,329,0.05
10,330,344,0.05
10,345,359,0.05
10,360,374,0.01
10,375,389,0.01
10,390,404,0.01
10,405,419,0.01
10,420,434,0.03
10,435,449,0.03
10,450,464,0.03
10,465,479,0.03
10,480,494,0.06
10,495,509,0.06
10,510,524,0.06
10,525,539,0.06
10,540,554,0.54
10,555,569,0.54
