,TxnTime,Consumption
0,16:55,1.01
1,21:45,0.908
2,12:24,0.926
3,4:07,0.928
4,6:52,0.916
5,10:20,0.972
6,15:32,0.878
7,19:23,1.902
8,11:19,0.9
9,14:52,0.928
10,23:53,0.994
11,1:41,1.85
12,10:39,0.896
13,6:32,0.964
14,15:12,0.906
15,12:45,0.904
16,22:05,0.904
17,7:14,1.02
18,2:47,1.092
19,0:42,0.904
20,3:47,0.92
21,20:44,0.884
22,16:12,0.876
23,12:05,0.976
24,3:06,0.924
25,1:01,0.904
26,11:43,1.09
27,23:31,0.964
28,10:59,0.942
29,2:22,1.878
30,20:03,0.892
31,14:31,0.972
32,9:58,0.918
33,5:51,0.9
34,14:10,0.9
35,18:42,0.87
36,22:49,0.964
37,4:28,0.944
38,8:38,0.946
39,13:50,1.052
40,22:28,1.052
41,7:34,0.92
42,3:27,0.944
43,0:22,1.03
44,20:24,0.94
45,15:53,0.978
46,17:39,0.922
47,21:25,0.92
48,13:06,0.956
49,5:07,0.93
50,8:17,1.962
51,16:33,0.936
52,21:05,0.976
53,6:11,0.928
54,19:44,0.932
55,13:27,0.964
56,9:38,1.88
57,5:31,1.098
58,18:22,1.98
59,23:09,0.93
60,4:48,0.896
61,8:57,0.92
62,17:18,1.05
63,5:45,0.962
64,1:56,0.872
65,12:42,2.914
66,15:44,3.688
67,13:23,6.33
68,2:16,0.94
69,10:17,5.948
70,7:07,0.92
71,13:43,2.824
72,17:26,9.778
73,6:27,1.002
74,14:42,5.754
75,17:47,4.9
76,10:57,4.534
77,7:29,1.03
78,3:21,1.124
79,3:41,0.89
80,11:19,5.314
81,23:56,1.172
82,23:31,14.95
83,16:04,3.238
84,22:42,16.92
85,4:02,0.93
86,8:31,17.884
87,18:07,4.718
88,1:37,0.98
89,9:34,27.108
90,9:55,6.612
91,6:47,0.936
92,16:45,3.336
93,2:57,0.948
94,18:48,4.934
95,11:39,4.652
96,15:25,3.086
97,19:37,7.482
98,20:20,11.704
99,19:11,6.18
100,14:03,1.856
101,0:55,0.928
102,7:50,9.862
103,2:37,0.908
104,16:26,3.56
105,15:04,2.366
106,12:23,7.676
107,4:41,1.82
108,0:12,0.906
109,18:29,5.004
110,5:23,1.93
111,0:34,0.994
112,21:23,5.738
113,21:49,8.618
114,21:02,6.434
115,20:40,5.234
116,6:05,0.954
117,1:16,0.968
118,10:38,5.2
119,19:17,5.3
120,14:40,3.844
121,23:26,5.712
122,17:12,3.588
123,21:22,12.324
124,16:31,6.144
125,19:59,5.622
126,23:47,5.3
127,16:52,3.54
128,10:02,9.792
129,9:24,11.068
130,8:47,9.94
131,10:43,8.698
132,11:22,7.328
133,18:56,5.614
134,17:54,5.028
135,2:28,1.564
136,3:32,1.536
137,2:58,1.382
138,4:00,1.324
139,4:31,1.372
140,18:34,5.23
141,22:05,6.522
142,5:01,1.368
143,5:38,1.688
144,6:17,1.776
145,8:09,8.18
146,7:31,4.638
147,6:54,1.714
148,21:42,6.268
149,15:25,2.586
150,22:24,6.594
151,18:14,4.216
152,15:04,3.01
153,22:45,6.088
154,12:04,6.68
155,12:44,5.896
156,13:24,5.578
157,14:04,5.604
158,15:48,2.556
159,19:39,5.606
160,23:06,6.068
161,17:33,4.744
162,20:40,12.604
163,1:24,1.414
164,1:53,1.332
165,0:53,1.4
166,0:22,1.186
167,13:55,3.066
168,10:01,12.024
169,5:52,0.898
170,1:27,0.908
171,20:33,2.454
172,3:31,0.934
173,22:57,7.056
174,19:09,4.664
175,7:58,5.89
176,11:27,4.488
177,4:53,0.99
178,8:59,6.606
179,0:07,0.924
180,12:30,3.894
181,15:43,2.226
182,23:18,7.384
183,7:38,7.206
184,14:38,1.236
185,18:27,2.208
186,5:13,0.89
187,1:08,0.964
188,12:51,3.516
189,16:43,2.152
190,14:16,1.788
191,10:45,4.37
192,18:06,2.328
193,22:16,15.97
194,21:13,2.52
195,2:30,0.924
196,6:56,0.994
197,6:56,0.994
198,17:24,2.194
199,5:32,0.88
200,0:47,0.9
201,21:34,3.946
202,17:04,2.224
203,13:13,3.608
204,8:19,4.454
205,3:10,0.904
206,20:53,2.31
207,2:50,0.922
208,19:50,2.612
209,15:01,4.944
210,16:23,2.11
211,9:21,8.328
212,0:27,0.924
213,20:11,2.428
214,22:38,8.014
215,19:28,2.216
216,16:03,2.094
217,12:10,4.364
218,4:11,1.854
219,15:22,5.822
220,8:40,8.33
221,11:48,4.712
222,4:32,0.95
223,13:35,3.496
224,17:44,2.11
225,10:23,5.66
226,1:50,1.008
227,6:34,1.914
228,11:06,4.762
229,2:10,0.924
230,23:40,7.636
231,9:58,9.348
232,5:47,0.88
233,13:51,6.236
234,11:42,7.128
235,19:23,9.162
236,9:37,8.282
237,2:03,0.914
238,13:30,5.836
239,17:20,5.988
240,21:36,18.236
241,10:40,8.144
242,18:22,14.78
243,6:49,0.952
244,2:45,0.994
245,22:17,9.046
246,22:17,9.046
247,8:13,7.898
248,3:46,0.926
249,12:04,7.156
